co_cnes,resultado
14060,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
14079,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17256,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17299,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17329,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17337,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17469,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17485,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
17507,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18791,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18805,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18848,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18864,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18872,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18899,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18929,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18937,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18945,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
18953,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
18961,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19070,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19119,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19127,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19186,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21954,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21989,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21997,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
25607,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2070278,850478588567862317521167644239926010288584608120796235886430763388588680378079017697280000000000000000
2223600,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2223759,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2223767,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2223775,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223856,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224135,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2224623,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2224658,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2224674,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224682,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2224720,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2224739,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224747,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224755,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224909,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2226383,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2226820,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2226839,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2227657,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2227975,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228033,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228068,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228394,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228750,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2228815,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2228823,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228858,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228866,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2228874,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
